Date,Open,High,Low,Close,Adj Close,Volume
4/3/2017,107.727325,111.66172,107.727325,111.099663,111.099663,651828
4/5/2017,111.942741,118.453224,111.568039,115.408752,115.408752,1769374
4/6/2017,116.064484,116.532867,111.66172,112.176933,112.176933,669516
4/7/2017,111.474365,116.158165,111.474365,113.347885,113.347885,613759
4/10/2017,113.254211,115.127724,111.849068,112.317451,112.317451,348184
4/11/2017,111.568039,112.504799,110.865471,111.614876,111.614876,295248
4/12/2017,111.474365,112.22377,108.991951,111.052826,111.052826,370573
4/13/2017,111.1465,116.626541,110.818634,114.471992,114.471992,760921
4/17/2017,114.987213,118.500061,113.816261,116.298676,116.298676,858101
4/18/2017,117.84433,120.2799,113.863098,114.753021,114.753021,749200
4/19/2017,115.174568,118.406387,114.753021,116.11132,116.11132,337581
4/20/2017,116.720215,118.734253,112.738991,116.486031,116.486031,470220
4/21/2017,117.04808,118.78109,115.549271,116.298676,116.298676,414870
4/24/2017,117.04808,118.125359,114.846703,115.408752,115.408752,351765
4/25/2017,115.408752,117.98484,115.080887,117.469627,117.469627,494146
4/26/2017,117.563301,125.900459,117.563301,121.169823,121.169823,2006070
4/27/2017,122.247101,122.762314,119.436821,120.79512,120.79512,369536
4/28/2017,120.841957,123.371208,120.420418,121.685043,121.685043,392888
5/2/2017,121.404015,122.715477,116.860733,117.656975,117.656975,371213
5/3/2017,118.125359,136.48584,118.125359,130.677933,130.677933,6191001
5/4/2017,129.834854,129.834854,122.809151,123.511726,123.511726,1456252
5/5/2017,123.183861,125.900459,119.905197,120.373581,120.373581,758244
5/8/2017,120.467255,122.012909,118.546898,120.467255,120.467255,375701
5/9/2017,121.638206,124.167458,120.139389,121.076149,121.076149,635084
5/10/2017,121.076149,122.293938,119.389984,119.998878,119.998878,316508
5/11/2017,120.65461,121.21666,117.516464,118.031677,118.031677,316984
5/12/2017,118.406387,120.233063,117.188599,118.406387,118.406387,325438
5/15/2017,118.406387,118.968437,115.221405,115.596107,115.596107,351231
5/16/2017,115.923973,119.71785,114.612511,117.516464,117.516464,440971
5/17/2017,117.094917,118.78109,115.877136,116.298676,116.298676,285651
5/18/2017,115.877136,115.877136,111.474365,112.08326,112.08326,372543
5/19/2017,112.411125,115.97081,112.411125,113.909943,113.909943,413034
5/22/2017,114.144127,115.689781,113.394722,114.612511,114.612511,282230
5/23/2017,114.799858,114.799858,108.102028,108.804604,108.804604,325539
5/24/2017,109.41349,113.816261,107.258949,108.945114,108.945114,662884
5/25/2017,109.600845,112.22377,108.383057,111.427528,111.427528,354668
5/26/2017,112.317451,114.144127,110.069229,113.628914,113.628914,431130
5/29/2017,114.284645,115.783455,111.005981,112.08326,112.08326,401185
5/30/2017,111.568039,115.174568,110.537605,114.753021,114.753021,366032
5/31/2017,115.221405,118.031677,113.441559,117.516464,117.516464,574999
6/1/2017,117.094917,118.312706,115.549271,116.205002,116.205002,219838
6/2/2017,116.626541,116.90757,112.598473,113.394722,113.394722,285601
